開課序號,開課代碼,系所,組,年,班,全英語,MOOCS,限性別,中文課程名稱,英文課程名稱,學分,必/選,全/半,教師,地點時間,限修人數,選修人數,限修條件,備註,學期
3907,AAM1791,校際臺大（碩）,A,,,,,,系統工程,Systems Engineering,3.0,選,半,方  煒,四 6-8 生機201,2,0,◎課程不開放上修,生物資源暨農學院 ; 生物機電工程學研究所 ; 研究所核心課程(機電控制) ; 限修學制：碩,1112
3926,AAM1792,校際臺大（碩）,A,,,,,,尚書研究下,Shang Shu Studies（2）,2.0,選,半,蔣秋華,五 3-4 文17,1,0,◎課程不開放上修 ◎必須先修過尚書研究上】 ◎加退選全授權碼選課,文學院 ; 中國文學研究所 ;   限修學制：碩、博,1112
3927,AAM1793,校際臺大（碩）,A,,,,,,岩心掃描理論與實務,Core-Scanning Techniques: Theory and Application,2.0,選,半,黃致展,一 8-9 海研232,2,0,◎課程不開放上修 ◎加退選全授權碼選課,理學院 ; 海洋研究所 ;   限修學制：碩,1112
3945,AAM1794,校際臺大（碩）,A,,,是,,,東亞思想和宗教史上的普世主義,Universalism in East Asian Intellectual and Religious History,3.0,選,半,蒙葦,四 3-5 哲研討室一,2,0,◎課程不開放上修 ◎加退選全授權碼選課,文學院 ; 哲學研究所 ; 研究所：E領域。  大學部：(C)哲學專題群組。 ; 限修學制：碩,1112
4763,AAM1795,校際臺大（碩）,B,,,,,,法家政治思想專題研究,Seminar on Legalist Political Thoughts,2.0,選,半,林俊宏,五 6-7 社科研602,2,0,◎課程不開放上修 ◎加退選全授權碼選課,社會科學院 ; 政治學研究所 ; 政治思想。 ; 限修學制：碩、博,1112
3981,AAM1796,校際臺大（碩）,A,,,,,,法稱《正理滴論》,Dharmakirti's Primer on Buddhist Epistemology,3.0,選,半,李勝海,四 7-9 哲研討室三,2,0,◎課程不開放上修 ◎加退選全授權碼選課,文學院 ; 哲學研究所 ; 研究所：佛家領域。  大學部：(A)東方哲學史群組。 ; 限修學制：碩,1112
3985,AAM1797,校際臺大（碩）,A,,,,,,版本學研究,Study of Bibliology,3.0,選,半,趙飛鵬,二 7-9 文19,3,0,◎課程不開放上修 ◎加退選全授權碼選課,文學院 ; 中國文學研究所 ;   限修學制：碩、博,1112
4018,AAM1798,校際臺大（碩）,A,,,,,,空氣汙染實作二,Air Pollution Laboratory(II),3.0,選,半,陳正平,"一 8-9 大氣A104, 四 8 大氣A104",2,0,◎課程不開放上修,理學院 ; 大氣科學研究所 ;   限修學制：碩,1112
4054,AAM1799,校際臺大（碩）,A,,,是,,,疫苗：對抗下一場大流行的工具,The Role of Vaccines in Combating the Next Pandemic,2.0,選,半,黃婉婷,五 3-4 公衛210,3,0,◎課程不開放上修 ◎加退選全授權碼選課,公共衛生學院 ; 全球衛生碩士學位學程 ; 歡迎具流行病學基礎之研究生及大學部高年級生選修。 ; 限修學制：碩,1112
4059,AAM1800,校際臺大（碩）,A,,,,,,科技、管制與法律專題,"Seminar on Technology, Regulation and Law",3.0,選,半,張兆恬,四 3-5 國發206,1,0,◎課程開放上修 ◎加退選全授權碼選課,社會科學院 ; 國家發展研究所 ;   限修學制：大三以上、碩、博,1112
4065,AAM1801,校際臺大（碩）,A,,,,,,美國聯邦憲法與政府專題,Seminar on U.S. Constitution and Government,3.0,選,半,范秀羽,二 2-4 國發208,2,0,◎課程開放上修 ◎加退選全授權碼選課,社會科學院 ; 國家發展研究所 ;   限修學制：大三以上、碩、博,1112
4081,AAM1802,校際臺大（碩）,A,,,是,,,計量經濟理論二A,Econometric Theory (II) A,2.0,選,半,黃景沂,"三 6-8 社科研607, 四 9-10 社科研607",2,0,◎課程不開放上修,"社會科學院 ; 經濟學研究所 ; 博一必修，四9,10實習課，先修課程：數量方法入門。密集授課第1~8週。 ; 限修學制：碩、博",1112
4082,AAM1803,校際臺大（碩）,A,,,是,,,計量經濟理論二B,Econometric Theory (II) B,2.0,選,半,陳由常,"三 6-8 社科研607, 四 9-10 社科研607",2,0,◎課程不開放上修,"社會科學院 ; 經濟學研究所 ; 博一必修，四9,10實習課，先修課程：數量方法入門。密集授課第9~16週。 ; 限修學制：碩、博",1112
4097,AAM1804,校際臺大（碩）,A,,,,,,降雨逕流歷程專論,Seminar in Rainfall-Runoff Processes,3.0,選,半,黃誌川,二 5-7 地理502,2,0,◎課程不開放上修 ◎加退選全授權碼選課,理學院 ; 地理環境資源學研究所 ;   限修學制：碩,1112
4115,AAM1805,校際臺大（碩）,A,,,,,,唐代詩格專題研究,Seminar on the Sh? ge of the Tang Dynasty,3.0,選,半,蔡  瑜,一 7-9 博雅311,1,0,◎課程不開放上修 ◎加退選全授權碼選課,文學院 ; 中國文學研究所 ;   限修學制：碩、博,1112
4143,AAM1806,校際臺大（碩）,A,,,是,,,海洋微古生物學,Marine Micropaleontology,2.0,選,半,何亞倫,三 3-4 海研110教室,2,0,◎課程不開放上修,理學院 ; 海洋研究所 ;   限修學制：碩,1112
4181,AAM1807,校際臺大（碩）,A,,,是,,,高等統合分析方法,Advanced Aanalytical Methods for Meta-analysis,2.0,選,半,杜裕康,二 6-7 公衛214,5,0,◎課程不開放上修 ◎加退選全授權碼選課,公共衛生學院 ; 流行病學與預防醫學研究所 ; 不接受旁聽。課程將會錄影，並在課程結束後上傳至網路。電腦軟體應用：R系統。 ; 限修學制：碩,1112
4807,AAM1808,校際臺大（碩）,B,,,,,,偏差行為與社會控制,Deviance and Social Control,3.0,選,半,黃克先,一 3-5 社205,1,1,◎課程不開放上修 ◎加退選全授權碼選課,社會科學院 ; 社會學研究所 ;   限修學制：碩、博,1112
4212,AAM1809,校際臺大（碩）,A,,,是,,,國際農業合作,International Agricultural Cooperation,3.0,選,半,李?浡,四 A-C 農經會議室,3,0,◎課程不開放上修,生物資源暨農學院 ; 農業經濟學研究所 ;   限修學制：碩,1112
4259,AAM1812,校際臺大（碩）,A,,,,,,移民法制與公民身分專題,Seminar on Citizenship and Immigration Law,2.0,選,半,范秀羽,三 3-4 國發210,2,0,◎課程開放上修 ◎加退選全授權碼選課,社會科學院 ; 國家發展研究所 ;   限修學制：大三以上、碩、博,1112
